STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV trip,14-JUN-17 08.38.34.649000000 AM,14-JUN-17 08.48.38.021000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,14-JUN-17 08.53.07.875000000 AM,14-JUN-17 09.03.16.151000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 08.57.58.568000000 AM,14-JUN-17 09.08.02.124000000 AM,1,ME+4/2/30/6/HVSegment5
HV trip,14-JUN-17 08.58.08.504000000 AM,14-JUN-17 09.08.15.392000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,14-JUN-17 09.16.18.765000000 AM,14-JUN-17 09.26.22.281000000 AM,1,ME+2/1/17/2/HVSegment1
HV trip,14-JUN-17 09.22.53.906000000 AM,14-JUN-17 09.32.57.265000000 AM,1,ME+2/1/13/6/HVSegment2
HV trip,14-JUN-17 09.26.24.781000000 AM,14-JUN-17 09.36.28.118000000 AM,1,ME-3/1/18/4/HVSegment2
HV trip,14-JUN-17 09.27.55.081000000 AM,14-JUN-17 09.37.58.419000000 AM,1,ME+4/2/33/6/HVSegment5
HV trip,14-JUN-17 09.32.48.844000000 AM,14-JUN-17 09.42.52.202000000 AM,1,ME+3/1/02/1/HVSegment1
HV trip,14-JUN-17 09.44.29.187000000 AM,14-JUN-17 09.54.32.440000000 AM,1,ME-4/2/30/1/HVSegment5
HV trip,14-JUN-17 09.50.45.238000000 AM,14-JUN-17 10.00.48.686000000 AM,1,ME-3/2/15/4/HVSegment1
HV trip,14-JUN-17 09.54.41.188000000 AM,14-JUN-17 10.04.45.288000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 10.12.55.031000000 AM,14-JUN-17 10.22.58.604000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,14-JUN-17 10.15.48.919000000 AM,14-JUN-17 10.25.52.141000000 AM,1,ME+3/1/02/1/HVSegment1
HV trip,14-JUN-17 10.16.18.468000000 AM,14-JUN-17 10.26.22.404000000 AM,1,ME+4/2/36/6/HVSegment1
HV trip,14-JUN-17 10.17.06.209000000 AM,14-JUN-17 10.27.09.530000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,14-JUN-17 10.40.16.696000000 AM,14-JUN-17 10.50.20.309000000 AM,1,ME-4/2/30/1/HVSegment5
HV trip,14-JUN-17 10.42.51.788000000 AM,14-JUN-17 10.52.55.054000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 10.55.04.841000000 AM,14-JUN-17 11.05.08.198000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,14-JUN-17 11.10.57.928000000 AM,14-JUN-17 11.21.01.260000000 AM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 11.21.29.801000000 AM,14-JUN-17 11.31.33.060000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,14-JUN-17 11.33.24.082000000 AM,14-JUN-17 11.43.27.366000000 AM,1,ME-4/2/18/1/HVSegment5
HV trip,14-JUN-17 11.44.55.057000000 AM,14-JUN-17 11.54.58.394000000 AM,1,ME+3/1/02/1/HVSegment2
HV trip,14-JUN-17 11.47.36.219000000 AM,14-JUN-17 11.57.39.612000000 AM,1,ME+4/2/24/6/HVSegment5
HV trip,14-JUN-17 11.48.28.257000000 AM,14-JUN-17 11.58.31.654000000 AM,1,ME+2/1/13/6/HVSegment2
HV trip,14-JUN-17 11.54.37.030000000 AM,14-JUN-17 12.04.40.370000000 PM,1,ME+4/2/33/6/HVSegment5
HV trip,14-JUN-17 11.57.57.886000000 AM,14-JUN-17 12.08.01.264000000 PM,1,ME+4/2/03/6/HVSegment5
HV trip,14-JUN-17 12.10.12.985000000 PM,14-JUN-17 12.20.18.824000000 PM,1,ME-3/2/13/2/HVSegment1
