CONDITION_ID,STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME,REC_DESCRIPTION,FCT_VOLTAGE_SETTING
6088055525,HV weak channel,05-FEB-15 06.13.00.558000000 PM,13-MAY-15 05.39.50.309000000 PM,1,ME+1/1/01/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055525,HV weak channel,05-FEB-15 06.13.00.558000000 PM,13-MAY-15 05.39.50.309000000 PM,1,ME+1/1/01/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055525,HV weak channel,05-FEB-15 06.13.00.558000000 PM,13-MAY-15 05.39.50.309000000 PM,1,ME+1/1/01/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055525,HV weak channel,05-FEB-15 06.13.00.558000000 PM,13-MAY-15 05.39.50.309000000 PM,1,ME+1/1/01/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055525,HV weak channel,05-FEB-15 06.13.00.558000000 PM,13-MAY-15 05.39.50.309000000 PM,1,ME+1/1/01/6,HV channel has a lower than nominal voltage setting (2900 V),0
6088055525,HV weak channel,05-FEB-15 06.13.00.558000000 PM,13-MAY-15 05.39.50.309000000 PM,1,ME+1/1/01/6,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055529,HV weak channel,05-FEB-15 06.13.00.844000000 PM,13-MAY-15 05.39.49.969000000 PM,1,ME+1/1/02/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055529,HV weak channel,05-FEB-15 06.13.00.844000000 PM,13-MAY-15 05.39.49.969000000 PM,1,ME+1/1/02/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055529,HV weak channel,05-FEB-15 06.13.00.844000000 PM,13-MAY-15 05.39.49.969000000 PM,1,ME+1/1/02/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055529,HV weak channel,05-FEB-15 06.13.00.844000000 PM,13-MAY-15 05.39.49.969000000 PM,1,ME+1/1/02/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055529,HV weak channel,05-FEB-15 06.13.00.844000000 PM,13-MAY-15 05.39.49.969000000 PM,1,ME+1/1/02/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055529,HV weak channel,05-FEB-15 06.13.00.844000000 PM,13-MAY-15 05.39.49.969000000 PM,1,ME+1/1/02/1,HV channel has a lower than nominal voltage setting (2900 V),0
6088055529,HV weak channel,05-FEB-15 06.13.00.844000000 PM,13-MAY-15 05.39.49.969000000 PM,1,ME+1/1/02/1,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055533,HV weak channel,05-FEB-15 06.13.01.120000000 PM,13-MAY-15 05.39.49.761000000 PM,1,ME+1/1/02/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055533,HV weak channel,05-FEB-15 06.13.01.120000000 PM,13-MAY-15 05.39.49.761000000 PM,1,ME+1/1/02/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055533,HV weak channel,05-FEB-15 06.13.01.120000000 PM,13-MAY-15 05.39.49.761000000 PM,1,ME+1/1/02/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055533,HV weak channel,05-FEB-15 06.13.01.120000000 PM,13-MAY-15 05.39.49.761000000 PM,1,ME+1/1/02/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055533,HV weak channel,05-FEB-15 06.13.01.120000000 PM,13-MAY-15 05.39.49.761000000 PM,1,ME+1/1/02/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055533,HV weak channel,05-FEB-15 06.13.01.120000000 PM,13-MAY-15 05.39.49.761000000 PM,1,ME+1/1/02/2,HV channel has a lower than nominal voltage setting (2900 V),0
6088055533,HV weak channel,05-FEB-15 06.13.01.120000000 PM,13-MAY-15 05.39.49.761000000 PM,1,ME+1/1/02/2,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055537,HV weak channel,05-FEB-15 06.13.01.427000000 PM,13-MAY-15 05.39.49.586000000 PM,1,ME+1/1/02/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055537,HV weak channel,05-FEB-15 06.13.01.427000000 PM,13-MAY-15 05.39.49.586000000 PM,1,ME+1/1/02/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055537,HV weak channel,05-FEB-15 06.13.01.427000000 PM,13-MAY-15 05.39.49.586000000 PM,1,ME+1/1/02/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055537,HV weak channel,05-FEB-15 06.13.01.427000000 PM,13-MAY-15 05.39.49.586000000 PM,1,ME+1/1/02/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055537,HV weak channel,05-FEB-15 06.13.01.427000000 PM,13-MAY-15 05.39.49.586000000 PM,1,ME+1/1/02/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055537,HV weak channel,05-FEB-15 06.13.01.427000000 PM,13-MAY-15 05.39.49.586000000 PM,1,ME+1/1/02/3,HV channel has a lower than nominal voltage setting (2900 V),0
6088055537,HV weak channel,05-FEB-15 06.13.01.427000000 PM,13-MAY-15 05.39.49.586000000 PM,1,ME+1/1/02/3,HV channel has a lower than nominal voltage setting (2900 V),2900
6088055695,HV weak channel,05-FEB-15 06.13.01.651000000 PM,13-MAY-15 05.39.49.419000000 PM,1,ME+1/1/02/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055695,HV weak channel,05-FEB-15 06.13.01.651000000 PM,13-MAY-15 05.39.49.419000000 PM,1,ME+1/1/02/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055695,HV weak channel,05-FEB-15 06.13.01.651000000 PM,13-MAY-15 05.39.49.419000000 PM,1,ME+1/1/02/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055695,HV weak channel,05-FEB-15 06.13.01.651000000 PM,13-MAY-15 05.39.49.419000000 PM,1,ME+1/1/02/4,HV channel has a lower than nominal voltage setting (2900 V),0
6088055695,HV weak channel,05-FEB-15 06.13.01.651000000 PM,13-MAY-15 05.39.49.419000000 PM,1,ME+1/1/02/4,HV channel has a lower than nominal voltage setting (2900 V),0
