STATE,TIME_START,TIME_END,IS_CLOSED,COMPONENT_NAME
HV disabled channel,28-OCT-14 04.00.32.560000000 PM,03-NOV-14 01.03.15.795000000 PM,1,ME+3/1/02/6/HVSegment1
HV disabled channel,05-FEB-15 04.04.13.890000000 PM,02-JUN-15 05.43.35.968000000 PM,1,ME-2/2/06/2/HVSegment4
HV disabled channel,05-FEB-15 04.36.25.010000000 PM,02-JUN-15 05.52.05.039000000 PM,1,ME-4/2/05/3/HVSegment3
HV disabled channel,05-FEB-15 04.36.27.924000000 PM,02-JUN-15 05.52.08.202000000 PM,1,ME-4/2/07/1/HVSegment5
HV disabled channel,05-FEB-15 04.46.17.469000000 PM,02-JUN-15 05.51.48.877000000 PM,1,ME+1/2/17/3/HVSegment1
HV disabled channel,05-FEB-15 05.14.02.410000000 PM,02-JUN-15 09.32.23.451000000 PM,1,ME+2/2/15/4/HVSegment1
HV disabled channel,05-FEB-15 05.18.20.242000000 PM,02-JUN-15 09.30.30.040000000 PM,1,ME+3/1/14/6/HVSegment3
HV disabled channel,05-FEB-15 05.38.31.207000000 PM,10-JUN-15 02.19.06.927000000 PM,1,ME+4/2/32/2/HVSegment4
HV disabled channel,05-FEB-15 06.14.55.877000000 PM,10-JUN-15 02.21.13.961000000 PM,1,ME-1/1/25/4
HV disabled channel,23-MAR-15 07.55.16.959000000 PM,02-JUN-15 05.52.07.889000000 PM,1,ME-4/2/07/3/HVSegment4
HV disabled channel,05-APR-15 01.56.18.075000000 PM,02-JUN-15 09.30.51.255000000 PM,1,ME+2/2/02/4/HVSegment2
HV disabled channel,06-APR-15 12.51.19.698000000 AM,02-JUN-15 09.38.44.528000000 PM,1,ME+4/2/01/5/HVSegment5
HV disabled channel,06-JUL-15 01.51.11.910000000 AM,14-JUL-15 08.47.14.596000000 AM,1,ME+1/1/33/3
HV disabled channel,08-JUL-15 07.49.39.874000000 AM,14-JUL-15 08.58.43.243000000 AM,1,ME-4/2/04/3/HVSegment3
HV disabled channel,08-JUL-15 11.46.39.182000000 AM,08-JUL-15 11.47.09.848000000 AM,1,ME-2/1/05/2/HVSegment2
HV disabled channel,08-JUL-15 11.54.23.825000000 AM,08-JUL-15 11.54.39.071000000 AM,1,ME-2/1/05/3/HVSegment2
HV disabled channel,08-JUL-15 11.54.39.178000000 AM,09-JUL-15 03.32.26.553000000 PM,1,ME-2/1/05/2/HVSegment2
HV disabled channel,20-JUL-15 07.22.14.697000000 AM,07-SEP-15 02.57.44.492000000 PM,1,ME+1/1/33/3
HV disabled channel,08-SEP-15 12.24.35.421000000 PM,15-SEP-15 01.46.48.620000000 PM,1,ME+1/1/33/3
HV disabled channel,11-SEP-15 08.53.06.693000000 PM,15-SEP-15 01.43.32.201000000 PM,1,ME-1/1/25/6
HV disabled channel,11-SEP-15 11.33.15.049000000 PM,15-SEP-15 01.44.52.372000000 PM,1,ME-1/1/05/2
HV disabled channel,12-SEP-15 03.33.45.797000000 AM,15-SEP-15 01.46.36.743000000 PM,1,ME+1/1/33/1
HV disabled channel,15-SEP-15 03.00.15.454000000 PM,23-SEP-15 10.46.36.846000000 AM,1,ME-1/1/25/6
HV disabled channel,17-SEP-15 04.56.15.807000000 AM,23-SEP-15 10.44.26.705000000 AM,1,ME+1/1/33/3
HV disabled channel,17-SEP-15 11.55.55.993000000 AM,23-SEP-15 10.44.24.439000000 AM,1,ME+1/1/33/1
HV disabled channel,22-SEP-15 01.23.53.318000000 AM,23-SEP-15 10.47.41.167000000 AM,1,ME-1/1/05/2
HV disabled channel,23-SEP-15 11.00.32.377000000 AM,23-SEP-15 11.01.49.864000000 AM,1,ME-1/1/25/6
HV disabled channel,23-SEP-15 11.03.46.149000000 AM,25-SEP-15 11.12.15.030000000 AM,1,ME-1/1/25/6
HV disabled channel,25-SEP-15 02.34.52.598000000 PM,02-OCT-15 11.03.31.710000000 AM,1,ME+1/1/33/3
HV disabled channel,06-OCT-15 02.23.57.846000000 AM,07-OCT-15 11.53.47.149000000 AM,1,ME+1/1/01/5
HV disabled channel,11-OCT-15 09.09.19.227000000 PM,12-OCT-15 04.50.59.282000000 PM,1,ME+1/1/01/5
HV disabled channel,25-OCT-15 05.01.49.257000000 PM,03-NOV-15 12.55.19.427000000 PM,1,ME+1/1/33/1
HV disabled channel,26-OCT-15 11.02.23.577000000 AM,03-NOV-15 12.55.19.468000000 PM,1,ME+1/1/33/3
HV disabled channel,26-OCT-15 11.34.17.136000000 AM,03-NOV-15 12.54.55.597000000 PM,1,ME+1/1/01/5
HV disabled channel,26-OCT-15 07.40.17.117000000 PM,03-NOV-15 12.53.46.956000000 PM,1,ME-1/1/05/2
HV disabled channel,26-OCT-15 10.10.59.472000000 PM,03-NOV-15 12.54.20.248000000 PM,1,ME+1/1/05/6
HV disabled channel,06-NOV-15 05.01.20.726000000 PM,06-NOV-15 05.01.35.040000000 PM,1,ME+3/2/14/2/HVSegment2
HV disabled channel,06-NOV-15 05.01.47.932000000 PM,06-NOV-15 05.01.53.716000000 PM,1,ME+3/2/14/3/HVSegment2
HV disabled channel,06-NOV-15 05.01.50.684000000 PM,06-NOV-15 05.01.56.674000000 PM,1,ME+3/2/14/1/HVSegment3
HV disabled channel,06-NOV-15 05.02.01.242000000 PM,06-NOV-15 05.02.19.405000000 PM,1,ME+3/2/14/2/HVSegment3
HV disabled channel,06-NOV-15 05.02.01.266000000 PM,06-NOV-15 05.02.48.839000000 PM,1,ME+3/2/14/3/HVSegment3
HV disabled channel,06-NOV-15 05.02.05.945000000 PM,06-NOV-15 05.02.51.646000000 PM,1,ME+3/2/14/1/HVSegment4
HV disabled channel,06-NOV-15 05.02.09.276000000 PM,06-NOV-15 05.02.57.956000000 PM,1,ME+3/2/14/2/HVSegment4
HV disabled channel,06-NOV-15 05.02.17.962000000 PM,06-NOV-15 05.03.01.678000000 PM,1,ME+3/2/14/3/HVSegment4
HV disabled channel,06-NOV-15 05.02.29.173000000 PM,06-NOV-15 05.02.47.171000000 PM,1,ME+3/2/14/2/HVSegment3
HV disabled channel,06-NOV-15 05.03.05.526000000 PM,06-NOV-15 05.03.43.011000000 PM,1,ME+3/2/14/1/HVSegment5
HV disabled channel,06-NOV-15 05.03.05.567000000 PM,06-NOV-15 05.03.47.261000000 PM,1,ME+3/2/14/2/HVSegment5
HV disabled channel,06-NOV-15 05.03.17.329000000 PM,06-NOV-15 05.03.47.430000000 PM,1,ME+3/2/14/3/HVSegment5
HV disabled channel,06-NOV-15 05.03.17.506000000 PM,06-NOV-15 05.03.47.724000000 PM,1,ME+3/2/14/4/HVSegment1
HV disabled channel,06-NOV-15 05.03.17.657000000 PM,06-NOV-15 05.03.52.444000000 PM,1,ME+3/2/14/5/HVSegment1
HV disabled channel,06-NOV-15 05.03.17.793000000 PM,06-NOV-15 05.03.56.290000000 PM,1,ME+3/2/14/6/HVSegment1
